start_time,end_time,carbon_emitted,water_consumed
2025-01-01 00:00:00+00:00,2025-01-01 01:00:00+00:00,11746438064.25,21087647.90081666
2025-01-01 01:00:00+00:00,2025-01-01 02:00:00+00:00,11693257073.166666,21005012.198949996
2025-01-01 02:00:00+00:00,2025-01-01 03:00:00+00:00,11673005437.833334,20974871.614958327
2025-01-01 03:00:00+00:00,2025-01-01 04:00:00+00:00,11732730492.583334,21076068.441299994
2025-01-01 04:00:00+00:00,2025-01-01 05:00:00+00:00,12061086628.0,21615192.163174998
2025-01-01 05:00:00+00:00,2025-01-01 06:00:00+00:00,12832977121.916666,22876960.226108328
2025-01-01 06:00:00+00:00,2025-01-01 07:00:00+00:00,15232894772.291666,26778608.560349997
2025-01-01 07:00:00+00:00,2025-01-01 08:00:00+00:00,16695652810.458334,29198742.93347499
2025-01-01 08:00:00+00:00,2025-01-01 09:00:00+00:00,17468049484.166668,30580007.647883326
2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00,17853855795.708332,31450434.71958333
2025-01-01 10:00:00+00:00,2025-01-01 11:00:00+00:00,17851206686.625,31512642.147074994
2025-01-01 11:00:00+00:00,2025-01-01 12:00:00+00:00,17995928210.541668,32049648.230699997
2025-01-01 12:00:00+00:00,2025-01-01 13:00:00+00:00,18007275922.041668,31982887.07889166
2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00,18162695305.125,32101648.551958326
2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00,18000996366.833332,31728310.405316662
2025-01-01 15:00:00+00:00,2025-01-01 16:00:00+00:00,18088215129.458332,31850080.877533328
2025-01-01 16:00:00+00:00,2025-01-01 17:00:00+00:00,18426540837.916668,32516675.78809166
2025-01-01 17:00:00+00:00,2025-01-01 18:00:00+00:00,18441644329.0,32999713.004174992
2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00,18403354114.375,33126122.006374996
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,18459803721.583332,33472291.910991658
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,18042305482.5,32494559.781424996
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,17034873011.208334,30152860.871524993
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,15699123431.791666,27659262.19039166
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,14498592305.625,25617793.865283325
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,13805613569.208334,24468681.450149994
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,13598026301.5,24134269.173949998
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,13397414554.541666,23806056.77346666
2025-01-02 03:00:00+00:00,2025-01-02 04:00:00+00:00,13457432862.166666,23901606.906124994
2025-01-02 04:00:00+00:00,2025-01-02 05:00:00+00:00,13590856960.166666,24118053.097625
2025-01-02 05:00:00+00:00,2025-01-02 06:00:00+00:00,14224360501.541666,25152165.446708325
2025-01-02 06:00:00+00:00,2025-01-02 07:00:00+00:00,16084180597.583334,28213531.706758324
2025-01-02 07:00:00+00:00,2025-01-02 08:00:00+00:00,17394754065.916668,30483076.769758325
2025-01-02 08:00:00+00:00,2025-01-02 09:00:00+00:00,18039319789.5,31635879.162849993
2025-01-02 09:00:00+00:00,2025-01-02 10:00:00+00:00,18247726413.458332,32065431.45826666
2025-01-02 10:00:00+00:00,2025-01-02 11:00:00+00:00,18195857601.625,32158360.21571666
2025-01-02 11:00:00+00:00,2025-01-02 12:00:00+00:00,18377738817.125,32662269.28991666
2025-01-02 12:00:00+00:00,2025-01-02 13:00:00+00:00,18395176231.583332,32719806.58389166
2025-01-02 13:00:00+00:00,2025-01-02 14:00:00+00:00,18459465742.916668,32875214.61857499
2025-01-02 14:00:00+00:00,2025-01-02 15:00:00+00:00,18217012632.583332,32063602.121608328
2025-01-02 15:00:00+00:00,2025-01-02 16:00:00+00:00,18202787316.708332,32121184.556991663
2025-01-02 16:00:00+00:00,2025-01-02 17:00:00+00:00,18511242670.25,32940306.162508328
2025-01-02 17:00:00+00:00,2025-01-02 18:00:00+00:00,18495345905.75,33181528.31609999
2025-01-02 18:00:00+00:00,2025-01-02 19:00:00+00:00,18288423863.791668,32966708.263533324
2025-01-02 19:00:00+00:00,2025-01-02 20:00:00+00:00,18154505866.541668,32912368.550258327
2025-01-02 20:00:00+00:00,2025-01-02 21:00:00+00:00,17707461400.708332,31635009.46160833
2025-01-02 21:00:00+00:00,2025-01-02 22:00:00+00:00,16600637161.708334,29540052.33543333
2025-01-02 22:00:00+00:00,2025-01-02 23:00:00+00:00,15304726786.375,27165726.36334166
2025-01-02 23:00:00+00:00,2025-01-03 00:00:00+00:00,14194222342.458334,25198470.060483325
2025-01-03 00:00:00+00:00,2025-01-03 01:00:00+00:00,13694060794.583334,24366685.160474997
2025-01-03 01:00:00+00:00,2025-01-03 02:00:00+00:00,13324853770.0,23703838.531107686
